Dt,Predicted_Transaction_Count
2024-10-10 12:00:00,371.43090033344924
2024-10-10 13:00:00,372.0024093799293
2024-10-10 14:00:00,358.1063546203077
2024-10-10 15:00:00,354.4100166428834
2024-10-10 16:00:00,365.3316317014396
2024-10-10 17:00:00,393.65089031495154
2024-10-10 18:00:00,383.7913664095104
2024-10-10 19:00:00,327.80341186001897
2024-10-10 20:00:00,273.03445680812
2024-10-10 21:00:00,221.05238578096032
2024-10-10 22:00:00,184.9656395893544
2024-10-10 23:00:00,157.27124185673892
2024-10-11 00:00:00,139.51160011067986
2024-10-11 01:00:00,143.96962544322014
2024-10-11 02:00:00,164.15325383469462
2024-10-11 03:00:00,176.21466489508748
2024-10-11 04:00:00,154.08729130029678
2024-10-11 05:00:00,123.46056584827603
2024-10-11 06:00:00,127.70698221959175
